Num_Acc,catv,obs,obsm,choc,manv,num_veh
200900000260,7,0,2,3,2,A01
200900000260,31,0,2,5,2,B01
200900000261,7,1,0,1,1,A01
200900000262,7,0,2,4,2,B01
200900000262,32,0,2,2,2,A01
200900000263,7,0,2,7,16,A01
200900000263,2,0,2,1,7,B01
200900000264,10,0,2,4,23,B01
200900000264,13,0,2,1,2,A01
200900000265,7,0,2,4,23,B01
200900000265,33,0,2,4,23,C01
200900000265,7,0,2,1,2,A01
200900000266,30,0,2,1,1,A01
200900000266,2,0,2,6,1,B01
200900000267,7,0,2,1,2,A01
200900000267,7,0,2,4,2,B01
200900000268,1,0,0,0,16,A01
200900000269,7,0,2,1,2,A01
200900000269,31,0,2,4,23,B01
200900000270,2,0,2,2,1,B01
200900000270,7,0,2,3,22,A01
200900000271,7,0,2,1,2,A01
200900000271,7,0,2,4,2,B01
200900000272,2,0,2,0,7,A01
200900000272,7,0,2,2,16,B01
200900000273,1,0,5,0,1,A01
200900000274,7,0,1,1,17,A01
200900000275,32,0,1,1,1,A01
200900000276,32,0,2,4,2,A01
200900000276,7,0,2,3,2,Z01
200900000277,10,0,2,4,2,B01
200900000277,2,0,2,1,2,A01
200900000278,7,0,2,3,1,C01
200900000278,7,0,2,7,13,A01
200900000278,7,0,2,3,1,D01
200900000278,7,0,2,3,1,B01
200900000279,31,0,0,0,21,A01
200900000280,33,0,2,4,23,B01
200900000280,7,0,2,1,1,A01
200900000281,30,0,1,3,1,A01
200900000282,7,0,2,2,2,A01
200900000282,7,0,2,4,23,B01
200900000283,7,0,1,2,16,A01
200900000284,30,0,2,1,1,B01
200900000284,7,0,2,2,15,A01
200900000285,7,1,0,1,21,A01
200900000286,7,0,1,3,15,A01
200900000287,32,0,0,8,1,A01
200900000288,2,0,9,0,21,A01
200900000289,10,0,1,2,14,A01
200900000290,7,0,2,2,16,A01
200900000290,2,0,2,3,7,B01
200900000291,33,0,0,8,21,A01
200900000292,7,0,2,8,16,A01
200900000292,13,0,2,2,7,B01
200900000293,31,0,2,1,1,C01
200900000293,7,0,2,1,15,B01
200900000293,32,1,2,2,7,A01
200900000294,7,1,2,7,1,B01
200900000294,7,8,2,1,1,A01
200900000295,7,0,2,1,15,A01
200900000295,2,0,2,8,1,B01
200900000296,7,0,2,1,1,Z01
200900000296,7,15,2,5,1,A01
200900000297,30,0,0,0,21,A01
200900000298,10,0,1,3,1,A01
200900000299,32,0,2,1,1,A01
200900000299,7,0,2,3,1,B01
200900000300,7,0,2,7,12,A01
200900000300,30,0,2,8,1,B01
200900000301,7,14,0,1,21,A01
200900000302,10,0,1,1,1,A01
200900000303,7,0,1,3,1,A01
200900000304,7,0,2,3,1,B01
200900000304,7,0,2,1,15,A01
200900000305,34,0,2,5,17,B01
200900000305,10,0,2,3,1,C01
200900000305,7,0,2,3,22,A01
200900000306,2,0,1,1,0,A01
200900000307,7,0,2,2,16,B01
200900000307,30,0,2,3,18,A01
200900000308,33,7,0,2,1,A01
200900000309,7,0,1,7,1,A01
200900000310,7,0,1,3,15,A01
200900000311,32,0,2,1,1,B01
200900000311,7,0,2,2,15,A01
200900000312,30,0,2,7,1,B01
200900000312,7,0,2,0,9,A01
200900000313,7,0,1,1,1,A01
200900000314,32,0,1,0,1,A01
200900000315,2,0,2,1,1,B01
200900000315,7,0,2,1,15,A01
200900000316,32,0,2,1,1,B01
200900000316,7,0,2,2,15,A01
200900000317,33,0,1,1,17,A01
200900000318,30,0,2,6,1,B01
200900000318,7,0,2,2,15,A01
200900000319,7,0,1,1,1,A01
200900000320,33,0,2,4,12,A01
200900000320,7,0,2,8,1,C01
200900000320,31,0,2,1,18,B01
200900000321,33,0,2,3,2,A01
200900000321,10,0,2,5,2,B01
200900000322,10,0,1,3,15,A01
200900000323,33,0,0,0,1,A01
200900000324,30,0,2,1,1,A01
200900000324,7,0,2,8,15,B01
200900000325,33,0,1,1,1,A01
200900000326,7,0,2,5,12,A01
200900000326,33,0,2,0,1,B01
200900000327,10,0,2,5,2,B01
200900000327,32,0,2,1,2,A01
200900000328,33,0,2,4,23,B01
200900000328,7,0,2,1,2,A01
200900000329,32,0,1,2,5,A01
200900000330,33,0,2,7,1,B01
200900000330,7,0,2,6,11,A01
200900000331,7,0,2,7,23,B01
200900000331,33,1,2,7,2,A01
200900000332,7,0,2,4,2,B01
200900000332,2,0,2,0,2,A01
200900000333,7,0,2,3,1,B01
200900000333,33,0,2,4,12,A01
200900000334,7,0,2,6,23,B01
200900000334,7,14,2,2,2,A01
200900000335,2,0,1,7,16,Z01
200900000336,32,0,0,0,1,A01
200900000337,7,0,2,8,1,B01
200900000337,30,0,2,1,1,A01
200900000338,7,0,2,2,1,B01
200900000338,7,0,2,3,1,A01
200900000339,7,0,2,6,15,A01
200900000339,30,0,2,6,1,B01
200900000340,33,0,0,7,21,A01
200900000341,30,0,0,0,1,A01
200900000342,7,0,2,7,12,A01
200900000342,32,0,2,3,1,B01
200900000343,30,1,0,7,21,A01
200900000344,2,2,0,1,14,A01
200900000345,7,9,0,2,1,A01
200900000346,2,0,2,1,5,A01
200900000346,7,0,2,7,1,B01
200900000347,7,1,2,3,7,B01
200900000347,7,0,2,2,1,A01
200900000348,7,0,1,1,1,Z01
200900000349,7,0,1,3,1,A01
200900000350,32,0,0,0,21,A01
200900000351,7,0,2,6,2,B01
200900000351,7,0,2,2,2,A01
200900000352,7,0,2,3,22,A01
200900000352,1,0,2,1,1,B01
200900000353,7,0,2,1,2,A01
200900000353,7,0,2,1,2,D01
200900000353,7,0,2,4,2,B01
200900000353,7,0,2,1,2,C01
200900000354,1,0,1,1,1,A01
200900000355,30,1,0,1,5,A01
200900000356,7,0,1,1,1,A01
200900000357,32,0,2,1,13,A01
200900000357,32,0,2,1,1,B01
200900000358,10,0,2,5,4,A01
200900000358,31,0,2,1,23,B01
200900000359,32,0,1,4,1,A01
200900000360,7,0,2,1,1,B01
200900000360,7,0,2,1,15,A01
200900000361,7,0,0,4,1,D01
200900000361,7,2,2,1,3,A01
200900000361,7,0,9,4,1,B01
200900000361,7,0,2,4,1,C01
200900000362,7,0,2,4,2,B01
200900000362,20,0,2,1,2,A01
200900000363,7,0,2,3,1,B01
200900000363,2,0,2,1,1,A01
200900000364,7,0,2,6,15,B01
200900000364,30,0,2,1,17,A01
200900000365,7,0,1,2,1,A01
200900000366,32,0,0,1,1,A01
200900000367,7,0,2,4,2,B01
200900000367,7,0,2,1,2,A01
200900000368,7,0,2,4,2,D01
200900000368,31,0,2,4,2,B01
200900000368,7,0,2,4,2,C01
200900000368,10,0,2,1,2,A01
200900000369,7,0,1,2,15,A01
200900000370,1,0,2,1,1,B01
200900000370,7,0,2,8,22,A01
200900000371,10,0,2,3,2,B01
200900000371,33,0,2,1,2,A01
200900000372,7,0,2,8,11,B01
200900000372,33,0,2,8,3,A01
200900000373,7,0,1,1,1,A01
200900000374,31,0,0,0,0,A01
200900000375,2,0,1,0,1,Z01
200900000376,7,0,1,7,1,A01
